Compound,Date,Negative,Neutral,News,Positive,Tweets Ago
-0.4215,2018-02-12 23:06:21+00:00,0.872,0.128,fox,0.0,50
0.0,2018-02-12 23:00:24+00:00,1.0,0.0,fox,0.0,51
0.6204,2018-02-12 22:47:03+00:00,0.664,0.0,fox,0.336,52
0.0772,2018-02-12 22:37:58+00:00,0.939,0.0,fox,0.061,53
-0.296,2018-02-12 22:33:29+00:00,0.909,0.091,fox,0.0,54
0.6114,2018-02-12 22:28:35+00:00,0.81,0.0,fox,0.19,55
-0.5927,2018-02-12 21:32:33+00:00,0.819,0.181,fox,0.0,56
0.0,2018-02-12 10:15:17+00:00,1.0,0.0,fox,0.0,57
0.7906,2018-02-12 10:10:31+00:00,0.68,0.0,fox,0.32,58
0.7713,2018-02-12 10:02:37+00:00,0.574,0.0,fox,0.426,59
0.3612,2018-02-12 09:38:02+00:00,0.857,0.0,fox,0.143,60
0.0,2018-02-12 09:28:39+00:00,1.0,0.0,fox,0.0,61
0.765,2018-02-12 09:27:58+00:00,0.714,0.0,fox,0.286,62
0.128,2018-02-12 09:03:14+00:00,0.909,0.0,fox,0.091,63
0.296,2018-02-12 08:14:05+00:00,0.732,0.0,fox,0.268,64
0.0,2018-02-12 00:30:47+00:00,1.0,0.0,fox,0.0,65
-0.3182,2018-02-11 23:37:37+00:00,0.905,0.095,fox,0.0,66
0.0,2018-02-11 09:03:22+00:00,1.0,0.0,fox,0.0,67
-0.4367,2018-02-10 22:06:31+00:00,0.627,0.25,fox,0.122,68
0.3612,2018-02-10 22:03:03+00:00,0.884,0.0,fox,0.116,69
0.0,2018-02-09 22:54:52+00:00,1.0,0.0,fox,0.0,70
0.4451,2018-02-09 03:29:31+00:00,0.821,0.0,fox,0.179,71
0.0,2018-02-09 01:59:17+00:00,1.0,0.0,fox,0.0,72
0.128,2018-02-09 01:45:27+00:00,0.923,0.0,fox,0.077,73
-0.5106,2018-02-09 01:29:08+00:00,0.784,0.216,fox,0.0,74
0.2263,2018-02-09 01:16:03+00:00,0.706,0.129,fox,0.165,75
-0.0377,2018-02-09 01:14:30+00:00,0.774,0.116,fox,0.11,76
0.0,2018-02-09 00:58:37+00:00,1.0,0.0,fox,0.0,77
0.0,2018-02-09 00:39:34+00:00,1.0,0.0,fox,0.0,78
0.0,2018-02-09 00:13:12+00:00,1.0,0.0,fox,0.0,79
0.4767,2018-02-08 23:35:52+00:00,0.853,0.0,fox,0.147,80
0.3612,2018-02-08 23:33:51+00:00,0.889,0.0,fox,0.111,81
0.0,2018-02-08 23:29:24+00:00,1.0,0.0,fox,0.0,82
0.0,2018-02-08 23:28:52+00:00,1.0,0.0,fox,0.0,83
0.0,2018-02-08 22:26:28+00:00,1.0,0.0,fox,0.0,84
0.5574,2018-02-08 22:25:03+00:00,0.841,0.0,fox,0.159,85
0.4926,2018-02-08 22:25:01+00:00,0.653,0.0,fox,0.347,86
0.8286,2018-02-08 20:48:45+00:00,0.661,0.0,fox,0.339,87
-0.3182,2018-02-08 20:43:39+00:00,0.867,0.133,fox,0.0,88
0.0,2018-02-08 20:40:47+00:00,1.0,0.0,fox,0.0,89
-0.4767,2018-02-08 20:36:43+00:00,0.866,0.134,fox,0.0,90
0.4939,2018-02-08 20:35:24+00:00,0.789,0.0,fox,0.211,91
0.7579,2018-02-08 09:15:58+00:00,0.519,0.0,fox,0.481,92
0.0,2018-02-08 09:11:04+00:00,1.0,0.0,fox,0.0,93
0.34,2018-02-08 06:54:31+00:00,0.902,0.0,fox,0.098,94
-0.2282,2018-02-08 03:15:58+00:00,0.522,0.275,fox,0.204,95
-0.6249,2018-02-08 03:15:00+00:00,0.849,0.151,fox,0.0,96
0.0,2018-02-08 03:13:36+00:00,1.0,0.0,fox,0.0,97
0.0,2018-02-07 23:49:05+00:00,1.0,0.0,fox,0.0,98
0.4754,2018-02-07 22:55:29+00:00,0.86,0.0,fox,0.14,99
0.4003,2018-02-07 22:47:36+00:00,0.891,0.0,fox,0.109,100
0.0,2018-03-29 18:05:05+00:00,1.0,0.0,nytimes,0.0,1
-0.5106,2018-03-29 18:00:16+00:00,0.864,0.136,nytimes,0.0,2
0.5106,2018-03-29 17:52:05+00:00,0.82,0.0,nytimes,0.18,3
0.7964,2018-03-29 17:45:03+00:00,0.633,0.0,nytimes,0.367,4
-0.4404,2018-03-29 17:33:06+00:00,0.847,0.153,nytimes,0.0,5
0.0,2018-03-29 17:30:16+00:00,1.0,0.0,nytimes,0.0,6
0.0,2018-03-29 17:15:07+00:00,1.0,0.0,nytimes,0.0,7
0.5267,2018-03-29 17:04:43+00:00,0.82,0.0,nytimes,0.18,8
-0.296,2018-03-29 17:00:20+00:00,0.891,0.109,nytimes,0.0,9
-0.7713,2018-03-29 16:46:47+00:00,0.729,0.271,nytimes,0.0,10
0.1531,2018-03-29 16:45:04+00:00,0.785,0.095,nytimes,0.12,11
-0.8625,2018-03-29 16:37:32+00:00,0.652,0.348,nytimes,0.0,12
0.4404,2018-03-29 16:30:15+00:00,0.735,0.094,nytimes,0.171,13
-0.4404,2018-03-29 16:23:06+00:00,0.868,0.132,nytimes,0.0,14
0.4019,2018-03-29 16:17:15+00:00,0.847,0.0,nytimes,0.153,15
-0.3182,2018-03-29 16:15:08+00:00,0.711,0.172,nytimes,0.117,16
-0.5859,2018-03-29 16:00:28+00:00,0.714,0.223,nytimes,0.063,17
0.0,2018-03-29 15:57:28+00:00,1.0,0.0,nytimes,0.0,18
-0.6124,2018-03-29 15:54:59+00:00,0.833,0.167,nytimes,0.0,19
0.0,2018-03-29 15:52:04+00:00,1.0,0.0,nytimes,0.0,20
0.3182,2018-03-29 15:45:11+00:00,0.892,0.0,nytimes,0.108,21
-0.6486,2018-03-29 15:30:09+00:00,0.815,0.185,nytimes,0.0,22
0.0,2018-03-29 15:15:06+00:00,1.0,0.0,nytimes,0.0,23
0.3612,2018-03-29 15:02:10+00:00,0.828,0.0,nytimes,0.172,24
0.0,2018-03-29 15:01:26+00:00,1.0,0.0,nytimes,0.0,25
0.0,2018-03-29 14:45:08+00:00,1.0,0.0,nytimes,0.0,26
0.4854,2018-03-29 14:30:04+00:00,0.853,0.0,nytimes,0.147,27
0.3182,2018-03-29 14:21:06+00:00,0.705,0.097,nytimes,0.198,28
0.4767,2018-03-29 14:11:06+00:00,0.639,0.115,nytimes,0.246,29
-0.296,2018-03-29 14:00:22+00:00,0.845,0.155,nytimes,0.0,30
-0.296,2018-03-29 13:44:05+00:00,0.714,0.171,nytimes,0.114,31
0.0,2018-03-29 13:31:06+00:00,1.0,0.0,nytimes,0.0,32
0.2013,2018-03-29 13:17:06+00:00,0.645,0.121,nytimes,0.234,33
0.0,2018-03-29 13:00:18+00:00,1.0,0.0,nytimes,0.0,34
0.4215,2018-03-29 12:46:02+00:00,0.872,0.0,nytimes,0.128,35
0.5563,2018-03-29 12:29:02+00:00,0.796,0.0,nytimes,0.204,36
0.34,2018-03-29 12:15:04+00:00,0.87,0.0,nytimes,0.13,37
0.0,2018-03-29 12:00:08+00:00,1.0,0.0,nytimes,0.0,38
0.0,2018-03-29 11:51:03+00:00,1.0,0.0,nytimes,0.0,39
0.296,2018-03-29 11:41:01+00:00,0.896,0.0,nytimes,0.104,40
0.0,2018-03-29 11:30:09+00:00,1.0,0.0,nytimes,0.0,41
0.802,2018-03-29 11:14:03+00:00,0.675,0.0,nytimes,0.325,42
0.0,2018-03-29 10:59:02+00:00,1.0,0.0,nytimes,0.0,43
0.0,2018-03-29 10:44:04+00:00,1.0,0.0,nytimes,0.0,44
0.0,2018-03-29 10:30:08+00:00,1.0,0.0,nytimes,0.0,45
0.0,2018-03-29 10:16:01+00:00,1.0,0.0,nytimes,0.0,46
0.0,2018-03-29 10:00:19+00:00,1.0,0.0,nytimes,0.0,47
-0.4588,2018-03-29 09:44:04+00:00,0.875,0.125,nytimes,0.0,48
-0.4767,2018-03-29 09:30:11+00:00,0.853,0.147,nytimes,0.0,49
-0.8625,2018-03-29 09:15:04+00:00,0.652,0.348,nytimes,0.0,50
0.296,2018-03-29 09:00:12+00:00,0.885,0.0,nytimes,0.115,51
-0.6908,2018-03-29 08:45:03+00:00,0.729,0.271,nytimes,0.0,52
0.0,2018-03-29 08:30:08+00:00,1.0,0.0,nytimes,0.0,53
0.6908,2018-03-29 08:14:03+00:00,0.737,0.0,nytimes,0.263,54
-0.296,2018-03-29 08:02:06+00:00,0.845,0.155,nytimes,0.0,55
-0.5423,2018-03-29 07:47:05+00:00,0.829,0.171,nytimes,0.0,56
-0.6369,2018-03-29 07:32:06+00:00,0.792,0.208,nytimes,0.0,57
0.0,2018-03-29 07:26:50+00:00,1.0,0.0,nytimes,0.0,58
0.3612,2018-03-29 07:17:07+00:00,0.646,0.138,nytimes,0.215,59
0.6808,2018-03-29 07:08:18+00:00,0.556,0.0,nytimes,0.444,60
-0.6619,2018-03-29 07:02:05+00:00,0.531,0.318,nytimes,0.151,61
0.6249,2018-03-29 06:31:05+00:00,0.83,0.0,nytimes,0.17,62
0.0,2018-03-29 05:59:27+00:00,1.0,0.0,nytimes,0.0,63
0.2023,2018-03-29 05:41:06+00:00,0.917,0.0,nytimes,0.083,64
0.4404,2018-03-29 05:21:04+00:00,0.756,0.0,nytimes,0.244,65
0.0,2018-03-29 05:02:02+00:00,1.0,0.0,nytimes,0.0,66
-0.7778,2018-03-29 04:41:06+00:00,0.533,0.393,nytimes,0.074,67
0.0,2018-03-29 04:21:04+00:00,1.0,0.0,nytimes,0.0,68
0.0,2018-03-29 04:08:47+00:00,1.0,0.0,nytimes,0.0,69
0.7783,2018-03-29 04:02:02+00:00,0.672,0.0,nytimes,0.328,70
0.2263,2018-03-29 03:54:55+00:00,0.395,0.249,nytimes,0.356,71
-0.8625,2018-03-29 03:47:00+00:00,0.593,0.407,nytimes,0.0,72
-0.6705,2018-03-29 03:32:03+00:00,0.633,0.285,nytimes,0.081,73
0.6597,2018-03-29 03:17:06+00:00,0.735,0.0,nytimes,0.265,74
0.0,2018-03-29 03:02:01+00:00,1.0,0.0,nytimes,0.0,75
0.0,2018-03-29 02:47:01+00:00,1.0,0.0,nytimes,0.0,76
0.0,2018-03-29 02:32:03+00:00,1.0,0.0,nytimes,0.0,77
-0.8834,2018-03-29 02:17:03+00:00,0.66,0.34,nytimes,0.0,78
0.5563,2018-03-29 02:06:06+00:00,0.796,0.0,nytimes,0.204,79
-0.296,2018-03-29 01:55:04+00:00,0.784,0.216,nytimes,0.0,80
0.5267,2018-03-29 01:44:02+00:00,0.825,0.0,nytimes,0.175,81
0.0,2018-03-29 01:32:06+00:00,1.0,0.0,nytimes,0.0,82
0.0,2018-03-29 01:16:21+00:00,1.0,0.0,nytimes,0.0,83
-0.6486,2018-03-29 01:00:09+00:00,0.83,0.17,nytimes,0.0,84
0.5775,2018-03-29 00:47:03+00:00,0.792,0.0,nytimes,0.208,85
0.5719,2018-03-29 00:32:06+00:00,0.651,0.103,nytimes,0.245,86
-0.296,2018-03-29 00:17:02+00:00,0.845,0.155,nytimes,0.0,87
0.3182,2018-03-29 00:02:07+00:00,0.887,0.0,nytimes,0.113,88
-0.6808,2018-03-28 23:47:02+00:00,0.763,0.237,nytimes,0.0,89
0.6908,2018-03-28 23:32:04+00:00,0.737,0.0,nytimes,0.263,90
0.0,2018-03-28 23:17:01+00:00,1.0,0.0,nytimes,0.0,91
-0.3182,2018-03-28 23:02:06+00:00,0.892,0.108,nytimes,0.0,92
0.0,2018-03-28 22:47:03+00:00,1.0,0.0,nytimes,0.0,93
0.0,2018-03-28 22:32:04+00:00,1.0,0.0,nytimes,0.0,94
0.0,2018-03-28 22:17:04+00:00,1.0,0.0,nytimes,0.0,95
0.0,2018-03-28 22:08:01+00:00,1.0,0.0,nytimes,0.0,96
0.4404,2018-03-28 22:01:00+00:00,0.854,0.0,nytimes,0.146,97
0.0,2018-03-28 21:48:58+00:00,1.0,0.0,nytimes,0.0,98
0.4019,2018-03-28 21:40:26+00:00,0.876,0.0,nytimes,0.124,99
0.0,2018-03-28 21:32:03+00:00,1.0,0.0,nytimes,0.0,100
