Compound,Date,Negative,Neutral,News,Positive,Tweets Ago
-0.4019,2018-03-10 20:41:35+00:00,0.863,0.137,BBC,0.0,80
0.4588,2018-03-10 20:40:14+00:00,0.842,0.0,BBC,0.158,81
0.4605,2018-03-10 20:28:00+00:00,0.552,0.155,BBC,0.293,82
0.6588,2018-03-10 20:27:17+00:00,0.785,0.0,BBC,0.215,83
0.4106,2018-03-10 20:25:58+00:00,0.82,0.0,BBC,0.18,84
-0.8316,2018-03-10 20:24:22+00:00,0.719,0.281,BBC,0.0,85
0.5267,2018-03-10 20:24:07+00:00,0.815,0.0,BBC,0.185,86
0.0,2018-03-10 18:11:11+00:00,1.0,0.0,BBC,0.0,87
0.0,2018-03-10 18:10:57+00:00,1.0,0.0,BBC,0.0,88
0.0,2018-03-10 18:00:13+00:00,1.0,0.0,BBC,0.0,89
0.0,2018-03-10 17:00:18+00:00,1.0,0.0,BBC,0.0,90
-0.7783,2018-03-10 16:30:07+00:00,0.37,0.63,BBC,0.0,91
0.8805,2018-03-10 15:59:11+00:00,0.596,0.0,BBC,0.404,92
-0.5411,2018-03-10 15:53:39+00:00,0.873,0.127,BBC,0.0,93
0.1511,2018-03-10 15:32:03+00:00,0.91,0.0,BBC,0.09,94
-0.3818,2018-03-10 15:00:05+00:00,0.89,0.11,BBC,0.0,95
0.0,2018-03-10 14:00:08+00:00,1.0,0.0,BBC,0.0,96
-0.5859,2018-03-10 13:14:03+00:00,0.769,0.231,BBC,0.0,97
-0.4588,2018-03-10 13:00:04+00:00,0.25,0.75,BBC,0.0,98
0.4926,2018-03-10 13:00:03+00:00,0.653,0.0,BBC,0.347,99
0.3724,2018-03-10 13:00:03+00:00,0.758,0.0,BBC,0.242,100
0.8718,2017-12-21 12:04:04+00:00,0.632,0.0,CBS,0.368,1
0.6597,2017-12-21 01:04:27+00:00,0.787,0.0,CBS,0.213,2
0.3818,2017-12-20 23:00:04+00:00,0.843,0.0,CBS,0.157,3
0.743,2017-12-20 21:08:10+00:00,0.751,0.0,CBS,0.249,4
0.7222,2017-12-20 20:10:15+00:00,0.719,0.0,CBS,0.281,5
0.0,2017-12-20 19:31:47+00:00,1.0,0.0,CBS,0.0,6
0.5423,2017-12-20 15:30:01+00:00,0.857,0.0,CBS,0.143,7
0.1139,2017-12-20 01:01:19+00:00,0.941,0.0,CBS,0.059,8
0.7644,2017-12-20 00:14:34+00:00,0.708,0.0,CBS,0.292,9
0.0,2017-12-19 21:12:50+00:00,1.0,0.0,CBS,0.0,10
0.3818,2017-12-19 21:00:03+00:00,0.852,0.0,CBS,0.148,11
0.5719,2017-12-19 15:30:04+00:00,0.791,0.0,CBS,0.209,12
0.0,2017-12-19 14:42:58+00:00,1.0,0.0,CBS,0.0,13
0.6808,2017-12-19 00:39:07+00:00,0.714,0.0,CBS,0.286,14
0.875,2017-12-18 22:53:34+00:00,0.643,0.0,CBS,0.357,15
0.8957,2017-12-18 21:32:25+00:00,0.505,0.0,CBS,0.495,16
0.7569,2017-12-18 18:40:55+00:00,0.712,0.0,CBS,0.288,17
0.0,2017-12-18 00:42:56+00:00,1.0,0.0,CBS,0.0,18
0.5093,2017-12-18 00:00:40+00:00,0.859,0.0,CBS,0.141,19
0.8527,2017-12-17 17:48:58+00:00,0.576,0.044,CBS,0.38,20
0.7798,2017-12-17 15:39:38+00:00,0.725,0.0,CBS,0.275,21
0.25,2017-12-16 18:29:05+00:00,0.875,0.0,CBS,0.125,22
0.1867,2017-12-16 12:00:07+00:00,0.92,0.0,CBS,0.08,23
0.5423,2017-12-15 20:23:58+00:00,0.857,0.0,CBS,0.143,24
0.6114,2017-12-15 14:43:08+00:00,0.8,0.0,CBS,0.2,25
0.5106,2017-12-14 19:13:25+00:00,0.798,0.0,CBS,0.202,26
0.0,2017-12-13 23:20:01+00:00,1.0,0.0,CBS,0.0,27
0.5093,2017-12-13 18:56:58+00:00,0.798,0.0,CBS,0.202,28
0.0,2017-12-12 20:34:16+00:00,1.0,0.0,CBS,0.0,29
0.5562,2017-12-12 19:04:59+00:00,0.854,0.0,CBS,0.146,30
0.555,2017-12-12 17:13:52+00:00,0.826,0.0,CBS,0.174,31
0.8832,2017-12-11 21:29:33+00:00,0.636,0.0,CBS,0.364,32
0.4939,2017-12-11 19:05:21+00:00,0.703,0.086,CBS,0.211,33
-0.2263,2017-12-11 00:26:50+00:00,0.917,0.083,CBS,0.0,34
-0.2263,2017-12-11 00:25:54+00:00,0.913,0.087,CBS,0.0,35
0.0772,2017-12-10 22:49:02+00:00,0.936,0.0,CBS,0.064,36
0.0,2017-12-10 22:48:46+00:00,1.0,0.0,CBS,0.0,37
0.5754,2017-12-09 18:24:37+00:00,0.742,0.07,CBS,0.189,38
0.6476,2017-12-09 01:11:51+00:00,0.791,0.0,CBS,0.209,39
0.8126,2017-12-08 23:35:41+00:00,0.697,0.0,CBS,0.303,40
0.7777,2017-12-07 18:23:03+00:00,0.746,0.0,CBS,0.254,41
0.5423,2017-12-07 12:07:06+00:00,0.863,0.0,CBS,0.137,42
0.3182,2017-12-06 17:32:28+00:00,0.874,0.0,CBS,0.126,43
0.1511,2017-12-05 19:21:31+00:00,0.91,0.0,CBS,0.09,44
0.4199,2017-12-05 19:14:00+00:00,0.883,0.0,CBS,0.117,45
0.5106,2017-12-05 00:54:16+00:00,0.837,0.0,CBS,0.163,46
0.0,2017-12-05 00:03:06+00:00,1.0,0.0,CBS,0.0,47
0.3612,2017-12-04 20:52:31+00:00,0.894,0.0,CBS,0.106,48
0.9217,2017-12-04 19:22:07+00:00,0.496,0.0,CBS,0.504,49
0.5213,2017-12-04 07:14:06+00:00,0.813,0.0,CBS,0.187,50
-0.5655,2017-12-04 03:02:00+00:00,0.823,0.177,CBS,0.0,51
0.9466,2017-12-04 03:01:09+00:00,0.328,0.0,CBS,0.672,52
0.5994,2017-12-04 02:51:35+00:00,0.719,0.0,CBS,0.281,53
0.7906,2017-12-04 02:49:27+00:00,0.731,0.0,CBS,0.269,54
0.8689,2017-12-04 02:47:39+00:00,0.671,0.0,CBS,0.329,55
0.8016,2017-12-04 02:43:14+00:00,0.736,0.0,CBS,0.264,56
0.5719,2017-12-04 02:26:30+00:00,0.844,0.0,CBS,0.156,57
0.0,2017-12-04 02:22:42+00:00,1.0,0.0,CBS,0.0,58
0.25,2017-12-04 02:12:59+00:00,0.867,0.0,CBS,0.133,59
0.0,2017-12-04 01:56:26+00:00,1.0,0.0,CBS,0.0,60
0.0,2017-12-04 01:55:44+00:00,1.0,0.0,CBS,0.0,61
0.8591,2017-12-04 01:43:24+00:00,0.513,0.0,CBS,0.487,62
-0.2263,2017-12-04 01:33:37+00:00,0.924,0.076,CBS,0.0,63
0.5574,2017-12-04 01:24:51+00:00,0.806,0.0,CBS,0.194,64
0.3612,2017-12-04 01:13:30+00:00,0.762,0.0,CBS,0.238,65
0.4588,2017-12-04 01:11:57+00:00,0.864,0.0,CBS,0.136,66
0.807,2017-12-04 01:05:31+00:00,0.644,0.0,CBS,0.356,67
0.4574,2017-12-04 01:00:09+00:00,0.87,0.0,CBS,0.13,68
-0.2263,2017-12-04 00:25:16+00:00,0.905,0.095,CBS,0.0,69
0.8271,2017-12-03 20:00:02+00:00,0.648,0.0,CBS,0.352,70
0.7783,2017-12-03 18:44:14+00:00,0.714,0.0,CBS,0.286,71
0.8658,2017-12-03 17:32:01+00:00,0.614,0.0,CBS,0.386,72
0.8516,2017-12-03 13:00:04+00:00,0.647,0.0,CBS,0.353,73
0.7897,2017-12-03 12:00:01+00:00,0.72,0.0,CBS,0.28,74
0.6166,2017-12-02 15:55:39+00:00,0.825,0.0,CBS,0.175,75
0.1867,2017-12-02 14:30:03+00:00,0.902,0.0,CBS,0.098,76
0.6996,2017-12-02 13:00:07+00:00,0.821,0.0,CBS,0.179,77
-0.3595,2017-12-02 12:00:03+00:00,0.872,0.128,CBS,0.0,78
0.3612,2017-12-01 22:43:05+00:00,0.884,0.0,CBS,0.116,79
0.4199,2017-12-01 22:15:28+00:00,0.866,0.0,CBS,0.134,80
0.7707,2017-12-01 21:00:12+00:00,0.718,0.0,CBS,0.282,81
0.0,2017-12-01 20:17:18+00:00,1.0,0.0,CBS,0.0,82
0.8221,2017-12-01 19:32:18+00:00,0.691,0.0,CBS,0.309,83
0.0,2017-12-01 18:40:34+00:00,1.0,0.0,CBS,0.0,84
0.0,2017-12-01 18:16:37+00:00,1.0,0.0,CBS,0.0,85
0.0,2017-12-01 18:10:11+00:00,1.0,0.0,CBS,0.0,86
0.6893,2017-12-01 14:00:04+00:00,0.749,0.0,CBS,0.251,87
0.1901,2017-12-01 12:00:03+00:00,0.907,0.0,CBS,0.093,88
0.296,2017-12-01 01:31:30+00:00,0.872,0.0,CBS,0.128,89
0.0,2017-11-30 21:10:19+00:00,1.0,0.0,CBS,0.0,90
0.6115,2017-11-30 20:54:39+00:00,0.773,0.0,CBS,0.227,91
0.0,2017-11-30 17:40:02+00:00,1.0,0.0,CBS,0.0,92
0.6808,2017-11-30 17:30:05+00:00,0.752,0.0,CBS,0.248,93
0.3612,2017-11-30 15:00:05+00:00,0.865,0.0,CBS,0.135,94
0.0,2017-11-30 12:00:03+00:00,1.0,0.0,CBS,0.0,95
-0.3595,2017-11-30 07:52:09+00:00,0.872,0.128,CBS,0.0,96
0.6239,2017-11-30 04:09:55+00:00,0.55,0.0,CBS,0.45,97
0.0,2017-11-30 04:00:27+00:00,1.0,0.0,CBS,0.0,98
0.5542,2017-11-30 03:59:09+00:00,0.796,0.0,CBS,0.204,99
0.0,2017-11-30 03:55:37+00:00,1.0,0.0,CBS,0.0,100
-0.3182,2018-03-29 17:30:46+00:00,0.897,0.103,CNN,0.0,1
0.0516,2018-03-29 17:16:16+00:00,0.783,0.104,CNN,0.113,2
-0.4588,2018-03-29 17:04:39+00:00,0.824,0.176,CNN,0.0,3
-0.4767,2018-03-29 16:54:01+00:00,0.829,0.171,CNN,0.0,4
0.17,2018-03-29 16:39:22+00:00,0.758,0.108,CNN,0.134,5
0.7096,2018-03-29 16:24:23+00:00,0.781,0.0,CNN,0.219,6
0.4215,2018-03-29 16:09:38+00:00,0.865,0.0,CNN,0.135,7
0.0,2018-03-29 15:59:35+00:00,1.0,0.0,CNN,0.0,8
0.0,2018-03-29 15:44:56+00:00,1.0,0.0,CNN,0.0,9
0.0,2018-03-29 15:31:02+00:00,1.0,0.0,CNN,0.0,10
0.25,2018-03-29 15:18:30+00:00,0.895,0.0,CNN,0.105,11
0.0,2018-03-29 15:05:25+00:00,1.0,0.0,CNN,0.0,12
0.3818,2018-03-29 14:53:09+00:00,0.66,0.0,CNN,0.34,13
-0.4404,2018-03-29 14:41:28+00:00,0.805,0.195,CNN,0.0,14
0.0,2018-03-29 14:29:38+00:00,1.0,0.0,CNN,0.0,15
0.2732,2018-03-29 14:17:41+00:00,0.648,0.154,CNN,0.198,16
-0.5267,2018-03-29 14:05:00+00:00,0.707,0.212,CNN,0.082,17
0.0,2018-03-29 13:53:19+00:00,1.0,0.0,CNN,0.0,18
0.0,2018-03-29 13:45:57+00:00,1.0,0.0,CNN,0.0,19
0.0,2018-03-29 13:38:41+00:00,1.0,0.0,CNN,0.0,20
0.0,2018-03-29 13:31:20+00:00,1.0,0.0,CNN,0.0,21
0.0,2018-03-29 13:29:02+00:00,1.0,0.0,CNN,0.0,22
0.0,2018-03-29 13:20:37+00:00,1.0,0.0,CNN,0.0,23
-0.3182,2018-03-29 13:10:01+00:00,0.881,0.119,CNN,0.0,24
0.6369,2018-03-29 12:56:49+00:00,0.61,0.089,CNN,0.301,25
0.6808,2018-03-29 12:43:34+00:00,0.752,0.0,CNN,0.248,26
-0.6124,2018-03-29 12:29:32+00:00,0.81,0.19,CNN,0.0,27
0.2732,2018-03-29 12:16:30+00:00,0.877,0.0,CNN,0.123,28
-0.7783,2018-03-29 12:03:36+00:00,0.673,0.327,CNN,0.0,29
0.0,2018-03-29 11:51:15+00:00,1.0,0.0,CNN,0.0,30
0.2023,2018-03-29 11:39:38+00:00,0.735,0.113,CNN,0.152,31
-0.8126,2018-03-29 11:27:38+00:00,0.669,0.331,CNN,0.0,32
0.0,2018-03-29 11:03:17+00:00,1.0,0.0,CNN,0.0,33
-0.3052,2018-03-29 10:54:00+00:00,0.87,0.13,CNN,0.0,34
0.25,2018-03-29 10:52:07+00:00,0.895,0.0,CNN,0.105,35
0.0,2018-03-29 10:46:01+00:00,1.0,0.0,CNN,0.0,36
0.3384,2018-03-29 10:34:52+00:00,0.888,0.0,CNN,0.112,37
-0.4767,2018-03-29 10:23:42+00:00,0.866,0.134,CNN,0.0,38
0.0,2018-03-29 10:12:31+00:00,1.0,0.0,CNN,0.0,39
-0.7461,2018-03-29 10:01:06+00:00,0.654,0.346,CNN,0.0,40
0.3612,2018-03-29 09:50:17+00:00,0.878,0.0,CNN,0.122,41
-0.296,2018-03-29 09:42:02+00:00,0.896,0.104,CNN,0.0,42
0.5994,2018-03-29 09:30:52+00:00,0.719,0.0,CNN,0.281,43
0.0,2018-03-29 09:20:10+00:00,1.0,0.0,CNN,0.0,44
0.0772,2018-03-29 09:09:33+00:00,0.783,0.101,CNN,0.115,45
0.0,2018-03-29 08:58:39+00:00,1.0,0.0,CNN,0.0,46
0.0,2018-03-29 08:48:13+00:00,1.0,0.0,CNN,0.0,47
